やくしゃこども	1851	1851	7500	役者子供
りゅうこうかがい	1851	1851	7500	柳巷花街
あおおんな	1851	1851	7500	青女
せんけつ	1851	1851	7500	羶血
ぬえどり	1851	1851	7500	鵺鳥
まぐわい	1851	1851	7500	目合ひ
うすぐれ	1851	1851	7500	薄暮れ
おつぼね	1851	1851	7500	御局
あにじゃひと	1851	1851	7500	兄者人
いっと	1851	1851	7500	一兎
マブだち	1851	1851	7500	マブ達
イルマン	1851	1851	7500	入満
ふとばら	1851	1851	7500	太腹
ちゅうどうじ	1851	1851	7500	中童子
そうぐ	1851	1851	7500	僧供
こうじいろ	1851	1851	7500	柑子色
ざんぜん	1851	1851	7500	残喘
ふうたく	1851	1851	7500	風鐸
かざみ	1851	1851	7500	汗衫
みわざ	1851	1851	7500	御業
かさかき	1851	1851	7500	瘡かき
いせこじき	1851	1851	7500	伊勢乞食
かみがたざいろく	1851	1851	7500	上方才六
ばかチョンカメラ	1851	1851	7500	馬鹿チョンカメラ
か	1851	1851	7500	顆
むめいこつ	1851	1851	7500	無名骨
そらびき	1851	1851	7500	空引き
そらびきばた	1851	1851	7500	空引き機
としよりしゅう	1851	1851	7500	年寄衆
しろゆもじ	1851	1851	7500	白湯文字
おうわく	1851	1851	7500	枉惑
くるわことば	1851	1851	7500	郭言葉
ありのみ	1851	1851	7500	ありの実
かくりん	1851	1851	7500	獲麟
ばかチョン	1851	1851	7500	馬鹿チョン
みくにことば	1851	1851	7500	御国言葉
やまとぶみ	1851	1851	7500	大和文
しこうろくみん	1851	1851	7500	四公六民
ななつどき	1851	1851	7500	七つ時
やつどき	1851	1851	7500	八つ時
ひじりづか	1851	1851	7500	聖柄
しこう	1851	1851	7500	四更
へいや	1851	1851	7500	丙夜
ていや	1851	1851	7500	丁夜
ぼや	1851	1851	7500	戊夜
にほんしゅぎ	1851	1851	7500	日本主義
わかしゅどう	1851	1851	7500	若衆道
にゃくどう	1851	1851	7500	若道
びどう	1851	1851	7500	美道
おさむし	1851	1851	7500	歩行虫
メッシーくん	1851	1851	7500	メッシー君
アッシーくん	1851	1851	7500	アッシー君
こうこ	1851	1851	7500	亙古
うせつ	1851	1851	7500	迂拙
るいしゅう	1851	1851	7500	累囚
なめ	1851	1851	7500	縵面
てきとう	1851	1851	7500	倜儻
こんじ	1851	1851	7500	今茲
びょうしゅん	1851	1851	7500	杪春
びょうしゅう	1851	1851	7500	杪秋
びょうとう	1851	1851	7500	杪冬
ねやごと	1851	1851	7500	閨事
すりごろも	1851	1851	7500	すり衣
しのぶずり	1851	1851	7500	信夫摺
そしし	1851	1851	7500	膂宍
ざんぜつ	1851	1851	7500	嶄絶
ぶつめつにち	1851	1851	7500	仏滅日
そうとん	1851	1851	7500	草とん
まじもの	1851	1851	7500	蠱物
まじ	1851	1851	7500	蠱
でんがくがえし	1851	1851	7500	田楽返し
だるましゅう	1851	1851	7500	達磨宗
みけつかみ	1851	1851	7500	三狐神
しでたおさ	1851	1851	7500	死出田長
うげつ	1851	1851	7500	雨月
くちぼそ	1851	1851	7500	口細
かいがね	1851	1851	7500	胛
じゅうぜんのきみ	1851	1851	7500	十善の君
ごきかぶり	1851	1851	7500	御器噛
こみら	1851	1851	7500	小韮
きさ	1851	1851	7500	蚶
ちとせどり	1851	1851	7500	千歳鳥
あしたず	1851	1851	7500	葦田鶴
もたい	1851	1851	7500	瓮
はにべ	1851	1851	7500	埴瓮
こうもうせん	1851	1851	7500	紅毛船
かなあじ	1851	1851	7500	金味
じこんいご	1851	1851	7500	自今以後
いのこ	1851	1851	7500	猪の子
から	1851	1851	7500	掛絡
あおう	1851	1851	7500	阿翁
はつしぐれ	1851	1851	7500	初時雨
すみれぐさ	1851	1851	7500	すみれ草
となみ	1851	1851	7500	門波
とうこう	1851	1851	7500	凍港
となみ	1851	1851	7500	門浪
エム	1851	1851	7500	Ｍ
さみだれぐも	1851	1851	7500	五月雨雲
まつほど	1851	1851	7500	松塊
ひなたぼこり	1851	1851	7500	日向ぼこり
とんけん	1851	1851	7500	豚犬
おいらっち	1851	1851	7500	俺等達
すずしきかた	1851	1851	7500	涼しき方
すずしきみち	1851	1851	7500	涼しき道
れいコー	1851	1851	7500	冷コー
わそう	1851	1851	7500	我僧
きょうこう	1851	1851	7500	鏡匣
ぶんこう	1851	1851	7500	文匣
はなのかんばせ	1851	1851	7500	花の顔
はなのかおばせ	1851	1851	7500	花の顔ばせ
くるるど	1851	1851	7500	枢戸
しもつけの	1851	1851	7500	下毛野
そいぼし	1851	1851	7500	添い星
かもじ	1851	1851	7500	母文字
えびかずら	1851	1851	7500	葡萄葛
かしゃばば	1851	1851	7500	火車婆
おやトモ	1851	1851	7500	親トモ
ただごと	1851	1851	7500	徒言
